supplier_name,hydrologic_region,prev_conserve_standard,current_conserve_standard,self_cert,pct_enforcable_savings,self_cert_2016,cumulative_savings,missed_standard_by,monthly_savings_aug_2015,monthly_savings_aug_2016,r_gpcd_2016,pop_served
California City  City of,8,28.0,28.0,0,13.1,18.0,13.1,14.9,16.8,20.5,148.5,14120
Yucaipa Valley Water District,2,34.0,20.0,1,18.3,7.1,7.1,12.9,26.4,11.9,260.0,45018
Sanger  City of,7,26.0,26.0,0,17.3,12.4,17.3,8.7,38.0,17.2,181.1,25664
Adelanto City of,8,16.0,16.0,0,9.3,-10.3,9.3,6.7,20.5,-30.6,125.5,29023
Red Bluff  City of,4,33.0,33.0,0,27.8,19.5,27.8,5.2,42.4,30.8,202.9,14076
Bellflower-Somerset Mutual Water Company,2,20.0,20.0,1,18.3,16.4,16.4,3.6,19.2,14.1,87.7,46300
Bakman Water Company,7,34.0,34.0,0,30.7,34.3,30.7,3.3,36.1,35.9,192.5,16756
North Marin Water District,0,24.0,0.0,1,22.7,-2.9,-2.9,2.9,34.7,12.9,135.3,61299
San Lorenzo Valley Water District,1,12.0,18.0,1,22.5,15.1,15.1,2.9,23.9,12.9,109.5,19000
Fillmore  City of,2,26.0,26.0,0,23.4,22.6,23.4,2.6,22.6,20.1,137.7,15222
Humboldt Bay Municipal Water District,6,4.0,0.0,1,9.0,-2.1,-2.1,2.1,17.3,0.4,107.5,602
Arcata  City of,6,4.0,0.0,1,4.6,-0.8,-0.8,0.8,1.6,-4.3,55.3,18392
"Los Banos, City of",3,24.0,24.0,0,24.4,21.8,24.4,-0.4,24.6,19.9,144.5,37168
Atwater  City of,3,33.0,33.0,0,33.6,22.3,33.6,-0.6,32.9,11.4,264.4,29500
Pico Rivera  City of,2,16.0,16.0,0,17.2,15.7,17.2,-1.2,18.7,15.9,91.2,39002
"Tehachapi, City of",7,25.0,25.0,0,26.4,21.9,26.4,-1.4,19.8,18.8,194.8,8923
Glendora  City of,2,34.0,20.0,1,29.0,21.6,21.6,-1.6,33.0,20.0,194.5,51463
Fortuna  City of,6,20.0,0.0,1,12.8,1.7,1.7,-1.7,21.5,9.2,97.8,12032
Brea  City of,2,24.0,15.0,1,20.2,17.2,17.2,-2.2,13.8,6.5,97.2,43328
Turlock  City of,3,29.0,16.0,1,24.9,18.2,18.2,-2.2,26.3,15.7,163.5,72050
El Segundo  City of,2,20.0,2.0,1,5.8,4.7,4.7,-2.7,-6.1,6.4,84.5,16654
City of Newman Water Department,3,21.0,21.0,0,24.3,16.1,24.3,-3.3,23.6,13.7,151.3,10668
Monterey Park  City of,2,20.0,14.0,1,17.4,17.3,17.3,-3.3,17.0,15.8,100.8,62183
Daly City  City of,0,8.0,4.0,1,11.0,8.2,8.2,-4.2,7.8,3.3,55.7,109139
"Modesto, City of",3,33.0,20.0,1,28.4,24.6,24.6,-4.6,28.9,21.2,202.9,223432
Exeter  City of,7,34.0,21.0,1,27.0,25.6,25.6,-4.6,33.1,22.8,200.1,10572
Covina  City of ,2,26.0,12.0,1,21.9,16.6,16.6,-4.6,26.2,16.9,124.0,33300
Nipomo Community Services District,1,28.0,23.0,1,31.1,28.1,28.1,-5.1,34.1,28.3,128.6,13348
Compton  City of,2,8.0,8.0,0,13.7,15.6,13.7,-5.7,12.2,13.7,62.1,81963
San Buenaventura  City of,2,16.0,16.0,0,21.8,21.7,21.8,-5.8,23.4,20.9,74.8,113478
Vernon  City of,2,8.0,0.0,1,9.9,5.9,5.9,-5.9,6.0,2.6,45.7,112
Orchard Dale Water District,2,8.0,0.0,1,16.7,6.3,6.3,-6.3,16.4,-17.0,88.6,25000
Humboldt Community Service District,6,12.0,0.0,1,8.4,7.2,7.2,-7.2,8.3,9.7,62.0,22842
Paramount  City of,2,8.0,0.0,1,11.4,7.3,7.3,-7.3,15.7,11.2,67.0,55302
Estero Municipal Improvement District,0,12.0,0.0,1,12.2,7.9,7.9,-7.9,16.1,-2.3,76.9,37339
Arroyo Grande  City of,1,28.0,28.0,0,36.4,36.3,36.4,-8.4,36.0,35.5,94.9,17636
Norwalk City of,2,17.0,0.0,1,12.7,8.6,8.6,-8.6,18.8,-1.6,116.8,18361
South Tahoe Public Utilities District,9,17.0,0.0,1,16.5,8.6,8.6,-8.6,21.1,5.8,105.1,33124
Casitas Municipal Water District,2,32.0,0.0,1,18.6,8.7,8.7,-8.7,49.8,5.9,116.4,9944
Golden State Water Company Norwalk,2,8.0,0.0,1,14.5,8.8,8.8,-8.8,17.8,12.3,68.0,44466
Crestline Village Water District,8,8.0,0.0,1,19.3,9.0,9.0,-9.0,18.6,10.3,59.8,7740
Golden State Water Company Florence Graham,2,8.0,0.0,1,9.4,9.0,9.0,-9.0,11.4,8.8,57.1,65492
Phelan Pinon Hills Community Services District,8,24.0,0.0,1,17.6,9.1,9.1,-9.1,20.0,8.3,124.1,20913
South Gate  City of,2,8.0,0.0,1,10.9,9.2,9.2,-9.2,4.2,4.7,59.0,88654
"Lathrop, City of ",3,18.0,18.0,0,27.4,20.4,27.4,-9.4,32.4,18.6,118.7,20353
"Colton, City of",2,18.0,0.0,1,14.6,9.6,9.6,-9.6,15.9,5.7,127.7,47429
San Luis Obispo  City of,1,12.0,12.0,0,21.7,22.5,21.7,-9.7,24.5,22.1,58.3,46117
Valley County Water District,2,14.0,10.0,1,21.7,20.0,20.0,-10.0,25.7,18.2,89.8,55703
"Imperial, City of",5,20.0,0.0,1,11.3,10.1,10.1,-10.1,8.7,2.6,125.0,18022
La Habra  City of Public Works,2,28.0,0.0,1,18.1,10.2,10.2,-10.2,22.6,5.0,114.1,63118
El Monte  City of,2,8.0,0.0,1,12.5,10.3,10.3,-10.3,22.9,10.5,59.2,22968
Yuba City  City of,4,28.0,15.0,1,26.7,25.6,25.6,-10.6,30.9,20.8,153.3,73202
Inglewood  City of,2,11.0,5.0,1,15.7,15.7,15.7,-10.7,17.3,14.9,72.6,86418
Ceres  City of,3,26.0,13.0,1,24.3,23.8,23.8,-10.8,31.7,30.9,118.7,47639
"Greenfield, City of",1,14.0,5.0,1,23.5,15.9,15.9,-10.9,22.6,11.8,89.4,17898
Lompoc  City of,1,12.0,12.0,0,22.9,25.4,22.9,-10.9,31.9,28.6,59.3,41541
Folsom  City of,4,28.0,0.0,1,22.2,11.0,11.0,-11.0,31.0,7.5,259.2,63951
Los Angeles County Public Works Waterworks District 29,2,36.0,0.0,1,18.1,11.1,11.1,-11.1,20.4,7.9,301.6,22264
"City of Big Bear Lake, Dept of Water & Power",2,13.0,0.0,1,13.2,11.1,11.1,-11.1,13.0,12.6,72.5,25819
Riverbank  City of,3,30.0,0.0,1,13.8,11.5,11.5,-11.5,-17.4,-22.3,180.6,23734
Bakersfield  City of,7,31.0,9.0,1,24.7,20.7,20.7,-11.7,32.0,21.3,232.7,146525
Beaumont-Cherry Valley Water District,2,32.0,0.0,1,21.2,11.7,11.7,-11.7,22.2,0.5,234.0,43111
Palmdale Water District,8,28.0,10.0,1,24.5,21.7,21.7,-11.7,25.2,19.0,146.3,116508
Hawthorne  City of,2,16.0,0.0,1,9.5,11.8,11.8,-11.8,11.3,14.1,62.6,44543
West Kern Water District,7,25.0,0.0,1,12.7,11.8,11.8,-11.8,24.2,12.9,115.1,20591
Marin Municipal Water District,0,20.0,0.0,1,19.1,12.0,12.0,-12.0,20.0,11.1,109.5,189400
California-American Water Company San Diego District,2,8.0,0.0,1,21.8,12.2,12.2,-12.2,23.6,10.0,73.9,94043
California Water Service Company Dominguez,2,15.0,0.0,1,14.2,12.4,12.4,-12.4,29.5,16.4,76.5,142714
Golden State Water Company Southwest,2,9.0,0.0,1,12.1,12.5,12.5,-12.5,13.9,10.7,64.9,271677
San Francisco Public Utilities Commission,0,8.0,0.0,1,14.0,12.5,12.5,-12.5,13.7,12.4,41.3,859276
"East Palo Alto, City of",0,8.0,8.0,0,20.7,14.6,20.7,-12.7,5.2,6.9,49.7,29143
Whittier  City of,2,17.0,0.0,1,19.7,12.8,12.8,-12.8,22.8,12.9,113.8,49954
San Juan Water District,4,33.0,0.0,1,29.2,12.8,12.8,-12.8,37.4,10.4,520.8,32779
Golden State Water Company Artesia,2,9.0,0.0,1,15.2,12.8,12.8,-12.8,18.8,11.3,76.4,47978
Shasta Lake  City of,4,25.0,10.0,1,34.0,22.8,22.8,-12.8,36.2,14.1,206.6,10293
Elsinore Valley Municipal Water District,2,27.0,0.0,1,19.2,13.0,13.0,-13.0,27.0,11.8,131.3,151414
Fairfield  City of,4,19.0,0.0,1,19.8,13.0,13.0,-13.0,25.0,11.1,106.3,108392
Vallejo  City of,0,16.0,0.0,1,18.0,13.2,13.2,-13.2,21.2,14.1,98.5,125200
West Valley Water District,2,28.0,0.0,1,19.4,13.3,13.3,-13.3,18.1,6.0,183.3,81421
Mammoth Community Water District,8,17.0,17.0,0,30.4,31.4,30.4,-13.4,34.7,31.1,89.6,16739
El Centro  City of,5,20.0,0.0,1,13.7,13.4,13.4,-13.4,12.2,6.7,130.7,44311
Oxnard  City of,2,12.0,0.0,1,16.0,13.4,13.4,-13.4,18.9,11.8,60.3,196720
Golden State Water Company Bell-Bell Gardens,2,8.0,0.0,1,13.4,13.4,13.4,-13.4,11.9,10.6,54.8,57934
Crescent City  City of,6,16.0,0.0,1,15.8,13.6,13.6,-13.6,20.0,7.7,75.8,18290
Lodi  City of Public Works Department,3,30.0,6.0,1,26.1,19.6,19.6,-13.6,27.2,18.1,172.5,63651
Long Beach  City of,2,9.0,0.0,1,15.1,13.7,13.7,-13.7,17.8,13.1,73.1,486810
Mesa Water District,2,13.0,0.0,1,20.4,13.8,13.8,-13.8,25.7,12.4,88.0,110000
Coachella  City of,5,20.0,0.0,1,21.1,13.9,13.9,-13.9,21.0,13.0,109.4,45407
Valley Water Company,2,34.0,0.0,1,22.5,13.9,13.9,-13.9,27.7,12.0,359.9,9900
Loma Linda  City of,2,30.0,0.0,1,19.1,13.9,13.9,-13.9,22.7,11.1,165.1,23751
Eureka  City of,6,4.0,0.0,1,12.5,14.0,14.0,-14.0,13.4,14.0,71.5,27052
Los Angeles Department of Water and Power,2,14.0,0.0,1,15.6,14.0,14.0,-14.0,17.4,13.3,84.1,4061504
Coastside County Water District,0,8.0,0.0,1,19.8,14.1,14.1,-14.1,26.7,18.4,81.2,16704
Golden State Water Company Culver City,2,16.0,0.0,1,16.3,14.1,14.1,-14.1,17.0,12.7,76.6,36215
Vista Irrigation District,2,12.0,0.0,1,18.1,14.2,14.2,-14.2,25.9,11.8,102.4,127699
Corona  City of,2,28.0,0.0,1,18.5,14.3,14.3,-14.3,21.5,12.8,129.2,185660
Golden State Water Company S San Gabriel,2,10.0,0.0,1,13.8,14.3,14.3,-14.3,12.1,13.9,65.1,27656
North Tahoe Public Utility District,9,25.0,0.0,1,21.7,14.4,14.4,-14.4,28.0,13.2,175.0,7500
Lake Hemet Municipal Water District,2,26.0,15.0,1,35.5,29.4,29.4,-14.4,35.3,28.1,145.9,52914
Western Municipal Water District of Riverside,2,28.0,0.0,1,22.1,14.4,14.4,-14.4,28.3,9.7,178.5,96139
Pinedale County Water District,7,14.0,14.0,0,28.4,24.8,28.4,-14.4,27.0,19.7,155.5,16735
Huntington Park  City of,2,8.0,0.0,1,13.4,14.5,14.5,-14.5,14.0,14.9,46.0,64219
Ontario  City of,2,20.0,0.0,1,19.4,14.5,14.5,-14.5,22.1,11.1,113.1,169869
Joshua Basin Water District,5,20.0,0.0,1,21.4,14.6,14.6,-14.6,23.6,13.7,107.3,9514
Goleta Water District,1,12.0,12.0,0,26.6,27.9,26.6,-14.6,21.8,25.5,55.3,86946
"Windsor, Town of",6,16.0,0.0,1,22.0,14.6,14.6,-14.6,23.2,12.9,99.1,27183
Rowland Water District,2,20.0,0.0,1,13.0,14.6,14.6,-14.6,18.9,13.9,92.8,58000
San Diego  City of,2,8.0,0.0,1,17.6,14.8,14.8,-14.8,21.3,11.0,73.6,1339958
Huntington Beach  City of,2,13.0,0.0,1,19.2,14.9,14.9,-14.9,23.3,12.2,96.3,196041
McKinleyville Community Service District,6,4.0,0.0,1,15.3,14.9,14.9,-14.9,25.3,16.9,129.4,16900
Big Bear City Community Services District,2,13.0,0.0,1,16.4,14.9,14.9,-14.9,13.3,10.6,79.0,14211
Bella Vista Water District,4,33.0,33.0,0,48.1,36.6,48.1,-15.1,55.6,30.4,423.7,18426
Rohnert Park  City of,6,16.0,0.0,1,17.4,15.1,15.1,-15.1,1.3,10.5,85.6,43398
Riverside  City of,2,25.0,0.0,1,20.1,15.2,15.2,-15.2,23.5,12.6,142.8,301389
Sierra Madre  City of,2,30.0,0.0,1,19.9,15.2,15.2,-15.2,17.4,8.3,199.2,11100
Lake Arrowhead Community Services District,8,13.0,0.0,1,24.1,15.2,15.2,-15.2,30.6,10.0,88.1,22908
Jurupa Community Service District,2,23.0,0.0,1,19.3,15.3,15.3,-15.3,21.7,11.1,177.4,118731
Garden Grove  City of,2,20.0,0.0,1,18.7,15.4,15.4,-15.4,14.7,7.0,85.8,177020
El Dorado Irrigation District,4,24.0,0.0,1,27.1,15.4,15.4,-15.4,29.9,14.3,208.2,118500
California Water Service Company East Los Angeles,2,8.0,0.0,1,15.3,15.4,15.4,-15.4,17.3,15.7,45.8,158752
California-American Water Company Monterey District,1,8.0,0.0,1,19.0,15.5,15.5,-15.5,15.7,16.5,68.1,91884
Olivehurst Public Utility District,4,33.0,10.0,1,35.2,25.5,25.5,-15.5,48.0,35.2,200.8,19509
Laguna Beach County Water District,2,24.0,0.0,1,19.3,15.5,15.5,-15.5,21.8,16.5,97.7,19121
Eastern Municipal Water District,2,20.0,0.0,1,18.9,15.6,15.6,-15.6,17.8,11.1,122.9,555468
Seal Beach  City of,2,12.0,0.0,1,16.3,15.6,15.6,-15.6,20.1,14.7,68.7,25561
Chino Hills  City of,2,28.0,0.0,1,23.8,15.6,15.6,-15.6,25.0,10.2,149.1,74738
Cerritos  City of,2,21.0,0.0,1,20.1,15.6,15.6,-15.6,29.7,14.3,137.6,49041
Chino  City of,2,21.0,0.0,1,18.5,15.7,15.7,-15.7,24.3,12.6,106.1,74639
Sonoma  City of,0,28.0,0.0,1,26.1,15.8,15.8,-15.8,21.8,12.5,134.8,11579
Azusa  City of,2,18.0,3.0,1,20.6,18.8,18.8,-15.8,23.0,17.9,94.1,106400
Santa Ana  City of,2,8.0,0.0,1,16.7,15.8,15.8,-15.8,19.7,15.7,68.5,332005
Irvine Ranch Water District,2,8.0,0.0,1,15.6,15.9,15.9,-15.9,19.2,17.0,75.5,393784
Rubidoux Community Service District,2,20.0,0.0,1,19.9,15.9,15.9,-15.9,19.6,18.0,119.7,32200
Montecito Water District,1,32.0,31.0,1,45.8,46.9,46.9,-15.9,40.7,45.9,209.3,13500
Anaheim  City of,2,13.0,0.0,1,20.2,15.9,15.9,-15.9,24.5,15.6,94.3,360972
California Water Service Company Kern River Valley,7,25.0,0.0,1,18.5,16.0,16.0,-16.0,16.5,14.3,138.0,5304
