climate_zone,total_population_served,reference_2014_population,water_shortage_contingency_stage_invoked,reported_final_total_potable_water_production,final_percent_residential_use,reported_final_commercial_industrial_and_institutional_water,calculated_total_potable_water_production_gallons_ag_excluded,calculated_total_potable_water_production_gallons_2013_ag_excluded,calculated_commercial_agricultural_water_gallons,calculated_commercial_agricultural_water_gallons_2013,calculated_r_gpcd,system_id,county_enc,hydro_region_enc,reporting_date
3,1400000.0,1379000.0,0.0,28771582365682.336,69.7349129005616,6977071605425.016,4964000000.0,5418000000.0,0.0,0.0,73.2781,110005,0,0,2021-04-15
3,1400000.0,1379000.0,0.0,28771582365682.336,69.7349129005616,6977071605425.016,4221000000.0,4928000000.0,0.0,0.0,59.3274,110005,0,0,2021-03-15
3,1400000.0,1379000.0,0.0,28771582365682.336,69.7349129005616,6977071605425.016,3549000000.0,4016000000.0,0.0,0.0,55.2268,110005,0,0,2021-02-15
3,1400000.0,1379000.0,0.0,28771582365682.336,69.7349129005616,6977071605425.016,3919000000.0,4099000000.0,0.0,0.0,55.9857,110005,0,0,2021-01-15
3,1450000.0,1379000.0,0.0,4169200000.0,60.0,579000000.0,4169000000.0,4772000000.0,0.0,0.0,55.6485,110005,0,0,2020-12-15
3,1450000.0,1379000.0,0.0,4589100000.0,61.0,657000000.0,4589000000.0,5149000000.0,0.0,0.0,64.3515,110005,0,0,2020-11-15
3,1450000.0,1379000.0,0.0,5757400000.0,60.0,781000000.0,5757000000.0,6175000000.0,0.0,0.0,76.8454,110005,0,0,2020-10-15
3,1450000.0,1379000.0,0.0,5998800000.0,62.0,792000000.0,5999000000.0,6528000000.0,0.0,0.0,85.50299999999999,110005,0,0,2020-09-15
3,1450000.0,1379000.0,0.0,6556600000.0,61.0,1245000000.0,6557000000.0,7172000000.0,0.0,0.0,88.9826,110005,0,0,2020-08-15
3,1450000.0,1379000.0,0.0,6536100000.0,60.0,1212000000.0,6536000000.0,7452000000.0,0.0,0.0,87.2436,110005,0,0,2020-07-15
3,1450000.0,1379000.0,0.0,6046700000.0,61.0,1150000000.0,6047000000.0,6928000000.0,0.0,0.0,84.79700000000001,110005,0,0,2020-06-15
3,1450000.0,1379000.0,0.0,5449600000.0,60.0,1049000000.0,5450000000.0,6717000000.0,0.0,0.0,72.7475,110005,0,0,2020-05-15
3,1450000.0,1379000.0,0.0,4441300000.0,62.0,918000000.0,4441000000.0,5418000000.0,0.0,0.0,63.297,110005,0,0,2020-04-15
3,1450000.0,1379000.0,0.0,4440600000.0,61.0,955000000.0,4441000000.0,4928000000.0,0.0,0.0,60.2672,110005,0,0,2020-03-15
3,1450000.0,1379000.0,0.0,4095000000.0,61.0,924000000.0,4095000000.0,4016000000.0,0.0,0.0,59.4043,110005,0,0,2020-02-15
3,1450000.0,1379000.0,0.0,3837900000.0,62.0,883000000.0,3838000000.0,4099000000.0,0.0,0.0,52.9379,110005,0,0,2020-01-15
3,1440000.0,1379000.0,0.0,3871700000.0,62.0,776000000.0,3872000000.0,4772000000.0,0.0,0.0,53.7778,110005,0,0,2019-12-15
3,1440000.0,1379000.0,0.0,4877700000.0,56.0,776000000.0,4878000000.0,5149000000.0,0.0,0.0,63.2333,110005,0,0,2019-11-15
3,1440000.0,1379000.0,0.0,5646300000.0,57.0,885000000.0,5646000000.0,6175000000.0,0.0,0.0,72.0927,110005,0,0,2019-10-15
3,1440000.0,1379000.0,0.0,5916800000.0,57.0,902000000.0,5917000000.0,6528000000.0,0.0,0.0,78.0715,110005,0,0,2019-09-15
3,1440000.0,1379000.0,0.0,6459200000.0,57.0,954000000.0,6459000000.0,7172000000.0,0.0,0.0,82.4738,110005,0,0,2019-08-15
3,1440000.0,1379000.0,0.0,6317400000.0,57.0,937000000.0,6317000000.0,7452000000.0,0.0,0.0,80.6606,110005,0,0,2019-07-15
3,1440000.0,1379000.0,0.0,5880600000.0,55.0,861000000.0,5881000000.0,6928000000.0,0.0,0.0,74.8738,110005,0,0,2019-06-15
3,1440000.0,1379000.0,0.0,5203600000.0,57.0,824000000.0,5204000000.0,6717000000.0,0.0,0.0,66.4489,110005,0,0,2019-05-15
3,1440000.0,1379000.0,0.0,4465100000.0,55.0,747000000.0,4465000000.0,5418000000.0,0.0,0.0,56.8461,110005,0,0,2019-04-15
3,1440000.0,1379000.0,0.0,3950100000.0,56.0,705000000.0,3950000000.0,4928000000.0,0.0,0.0,49.552,110005,0,0,2019-03-15
3,1440000.0,1379000.0,0.0,3535500000.0,54.0,678000000.0,3536000000.0,4016000000.0,0.0,0.0,47.3571,110005,0,0,2019-02-15
3,1440000.0,1379000.0,0.0,3859900000.0,56.0,678000000.0,3860000000.0,4099000000.0,0.0,0.0,48.4229,110005,0,0,2019-01-15
3,1430000.0,1379000.0,0.0,3905700000.0,59.0,665000000.0,3906000000.0,4772000000.0,0.0,0.0,51.986000000000004,110005,0,0,2018-12-15
3,1430000.0,1379000.0,0.0,4671500000.0,55.0,745000000.0,4672000000.0,5149000000.0,0.0,0.0,59.8974,110005,0,0,2018-11-15
3,1430000.0,1379000.0,0.0,5592200000.0,57.0,875000000.0,5592000000.0,6175000000.0,0.0,0.0,71.9025,110005,0,0,2018-10-15
3,1430000.0,1379000.0,0.0,5870100000.0,58.0,916000000.0,5870000000.0,6528000000.0,0.0,0.0,79.3613,110005,0,0,2018-09-15
3,1430000.0,1379000.0,0.0,6361200000.0,58.0,966000000.0,6361000000.0,7172000000.0,0.0,0.0,83.2254,110005,0,0,2018-08-15
3,1430000.0,1379000.0,0.0,6377600000.0,59.0,961000000.0,6378000000.0,7452000000.0,0.0,0.0,84.8865,110005,0,0,2018-07-15
3,1430000.0,1379000.0,0.0,5866200000.0,57.0,866000000.0,5866000000.0,6928000000.0,0.0,0.0,77.9399,110005,0,0,2018-06-15
3,1430000.0,1379000.0,0.0,5416000000.0,56.0,845000000.0,5416000000.0,6717000000.0,0.0,0.0,68.4178,110005,0,0,2018-05-15
3,1430000.0,1379000.0,0.0,4184899999.9999995,58.0,733000000.0,4185000000.0,5418000000.0,0.0,0.0,56.5804,110005,0,0,2018-04-15
3,1430000.0,1379000.0,0.0,4006800000.0,57.0,721000000.0,4007000000.0,4928000000.0,0.0,0.0,51.5224,110005,0,0,2018-03-15
