SITE_CODE,TOP_PRF_INT,BOT_PRF_INT
325536N1170608W001,260,280
325910N1170835W006,45,65
326821N1171124W006,20,25
327378N1170722W001,140,160
327781N1171209W006,30,50
328442N1169971W001,14.5,34.5
328556N1169394W001,15,35
328662N1169215W001,70,220
328715N1169003W001,80,210
328749N1168843W001,5,65
328783N1169242W001,6,95
329054N1169302W001,30,60
329102N1169242W001,30,70
329593N1169256W001,18,38
330557N1170464W001,30,50
330874N1169748W001,70,90
330979N1170172W001,30,50
331109N1161314W001,111,156
331560N1161680W001,50,400
331568N1162437W001,336,376
331610N1162372W001,400,520
331610N1162372W001,660,840
331742N1162666W001,267,270
331742N1162666W001,300,309
331742N1162666W001,406,418
331981N1162959W001,180,230
331981N1162959W001,240,456
331981N1162959W001,465,580
332032N1163143W001,175,325
332114N1173775W001,40,150
332116N1163340W001,185,430
332266N1162794W001,45,155
332316N1163887W001,240,325
332367N1167165W001,120,480
332391N1173818W001,88,108
332486N1166558W001,160,235
332486N1166558W001,265,280
332486N1166558W001,300,310
332486N1166558W001,325,350
332486N1166558W001,400,420
332509N1172990W001,25,30
332570N1163047W001,123,420
332574N1163559W001,520,570
332574N1163559W001,590,640
332576N1163131W001,85,390
332704N1164041W001,400,500
332742N1166846W001,106,450
332839N1167395W001,36,252
332867N1167043W001,78,270
332993N1169389W001,130,230
333006N1163495W001,800,890
333006N1173599W001,118,143
333103N1166879W001,65,245
333156N1171969W001,10,30
333198N1173328W001,58.5,73.5
333395N1170148W001,100,241
333472N1170272W001,70,100
333493N1164003W001,150,250
333493N1164003W001,290,350
334262N1160792W001,182,278
334416N1161083W001,418.36,438.37
334631N1171048W001,555,575
334631N1171048W002,160,180
334686N1176782W001,90,100
334686N1176782W002,115,125
334690N1160995W001,800,900
334694N1171156W001,460,700
334694N1171156W001,740,940
334694N1171156W001,980,1020
334721N1171186W001,1430,1470
334721N1171186W002,1110,1130
334721N1171186W003,750,770
334721N1171186W004,380,400
334721N1171186W005,120,140
334721N1171186W006,15,35
334728N1171101W001,48,248
334798N1171017W001,250,480
334798N1171017W001,550,620
334798N1171017W001,710,895
334817N1176783W001,14,74
334843N1160942W001,1320,1380
334852N1161560W001,325.32,345
334852N1161560W002,286.54,306.22
334889N1161645W001,303.9,323.58
334889N1161645W002,190.47,210.16
334890N1176668W001,29,123
334984N1176655W001,10,90
335006N1176517W001,10,90
335029N1170760W001,432,818
335045N1176466W001,10,90
335069N1176425W001,12.5,92.5
335075N1161553W001,400,800
335145N1176697W001,21,101
335174N1170339W001,360,885
335263N1160798W001,350,390
335299N1170854W001,375,845
335301N1171533W001,60,120
335301N1171533W001,190,260
335301N1171533W001,280,300
335301N1171533W001,390,590
335303N1171876W001,30,60
335303N1171876W001,70,150
335332N1161715W001,1,2
335378N1170434W001,450,1040
335403N1160260W001,530,560
335412N1170712W001,370,470
335412N1170712W001,540,760
335412N1170712W001,790,810
335418N1171971W001,43,65
335528N1161222W001,1,2
335542N1172157W001,60,307
335553N1172322W001,140,520
335553N1172322W001,540,640
335578N1161700W001,400,750
335703N1159888W001,340.19,359.87
335703N1159888W002,285.1,304.78
335745N1161600W001,140.42,160.02
335763N1160795W001,410,870
335908N1161218W001,400,840
335968N1160270W001,351.9,371.91
336020N1161925W001,400,550
336037N1160485W001,240,402
336145N1162237W001,1,2
336167N1161008W001,400,648
336258N1162737W001,300,740
336282N1161852W001,350,351
336327N1172947W001,280,480
336327N1172947W002,670,700
336334N1173390W001,192,213
336334N1173390W001,293,314
336334N1173390W001,394,457
336334N1173390W001,477,498
336334N1173390W001,538,559
336334N1173390W001,579,600
336366N1172928W001,230,430
336366N1172928W002,670,675
336393N1173454W001,240,450
336407N1161430W001,500,1100
336416N1172920W001,398,478
336416N1172920W001,518,698
336482N1162006W001,444.07,465.04
336482N1162008W001,254.66,274.78
336482N1173350W001,600,1800
336485N1162162W001,146,386
336485N1163777W001,200,505
336529N1173320W001,600,1800
336532N1162660W001,420,1150
336670N1163087W001,370,377
336709N1171192W001,150,509
336716N1177529W001,160,170
336716N1177529W002,420,430
336749N1179628W001,70,135
336781N1178263W001,666,760
336783N1171377W001,160,180
336783N1171377W001,200,220
336783N1171377W001,240,260
336783N1171377W001,280,300
336783N1171377W001,320,340
336783N1171377W001,360,390
336798N1177876W001,90,100
336798N1177876W002,440,450
336803N1171701W001,220,640
336807N1162533W001,450,740
336829N1173668W001,168,300
336831N1179773W001,445,455
336839N1171687W001,200,580
336847N1171551W001,180,560
336853N1171704W001,250,350
336853N1171704W001,400,440
336853N1171704W001,480,576
336853N1171774W001,40,120
336854N1171582W001,160,580
336875N1179148W001,90,100
336909N1172184W001,200,220
336924N1171956W001,170,190
336924N1171956W001,280,300
336924N1171956W001,600,620
336936N1172137W001,200,219
336950N1172093W001,200,219
336961N1172176W001,200,217
336964N1172118W001,200,218
336986N1172073W001,560,577
337001N1161639W001,521,810
337031N1170432W001,630,640
337031N1170432W002,450,460
337031N1170432W003,231,236
337031N1170432W004,148,158
337031N1170432W005,72,82
337046N1180143W001,52,62
337046N1180143W002,506,516
337047N1172032W001,425,430
337047N1172032W002,365,370
337047N1172032W003,237,242
337047N1172032W004,155,160
337071N1171276W001,50,70
337072N1171203W001,50,70
337072N1171228W001,50,70
337078N1168647W001,222,325
337092N1168700W001,147,347
337092N1170323W001,130,582
337101N1171283W001,52,70
337104N1168749W001,605,625
337105N1178932W001,420,720
337105N1178932W002,1060,1220
337106N1168698W001,240,445
337113N1163847W001,243,531
337120N1171204W001,50,70
337121N1168753W001,182,322
337132N1162893W001,550,990
337136N1168773W001,165,315
337136N1171251W001,50,70
337136N1171276W001,50,70
337142N1163653W001,410,680
337144N1168795W001,216,368
337148N1177696W001,85,95
337148N1177696W002,435,445
337148N1177696W003,990,1000
337165N1168858W001,280,340
337169N1168843W001,250,359
337175N1170142W001,320,360
337175N1170142W001,540,580
337216N1178318W001,126,136
337216N1178318W002,492,502
337216N1178318W003,886,896
337220N1168999W001,190,250
337220N1168999W001,290,390
337222N1170732W001,48,104
337233N1179421W001,1582,1592
337233N1179421W002,172,182
337233N1179421W003,810,820
337255N1169071W001,422,490
337281N1171465W001,250,415
337289N1169080W001,270,480
337295N1168930W001,300,560
337295N1180593W001,90,100
337296N1168279W001,20,500
337305N1168248W001,20,580
337314N1170076W001,260,300
337314N1170076W001,440,480
337314N1170076W001,540,580
337323N1163918W001,296,450
337334N1170002W001,364,404
337334N1170002W001,504,544
337334N1170002W001,665,705
337339N1169805W001,150,496
337349N1169151W001,420,500
337371N1161883W001,505,905
337374N1179933W001,90,100
337374N1179933W002,1460,1470
337374N1179933W003,920,930
337378N1163125W001,450,940
337382N1168958W001,320,360
337382N1168958W001,380,400
337382N1168958W001,420,440
337382N1168958W001,460,480
337382N1168958W001,500,520
337382N1168958W001,540,560
337382N1168958W001,580,590
337400N1163600W001,190,270
337405N1163171W002,518,566
337405N1163171W002,634,878
337419N1168398W001,140,400
337420N1174270W001,19,115
337429N1171367W001,231,412
337430N1174270W001,19,115
337437N1170068W001,190,554
337450N1174320W001,39,58
337450N1174320W001,82,96
337451N1168957W001,95,603
337470N1162733W001,203,654
337486N1162163W001,610,630
337486N1162163W001,660,910
337486N1162163W001,950,1280
337506N1171899W001,240,249
337506N1172029W001,220,236
337509N1162336W001,553,717
337509N1162336W001,737,782
337509N1162336W001,883,908
337509N1162336W001,963,983
337509N1162336W001,993,1013
337509N1162336W001,1088,1179
337511N1180848W001,75,85
337511N1180848W002,120,130
337511N1180848W003,170,190
337511N1180848W004,230,250
337511N1180848W005,490,510
337517N1169762W001,80,560
337520N1174460W001,22,54
337525N1179058W001,148,160
337525N1179058W002,1719,1730
337525N1179058W003,872,884
337541N1170035W001,22,510
337542N1169706W001,5,300
337543N1170030W001,100,300
337543N1171908W001,220,239
337549N1180436W001,185,195
337549N1180436W002,240,260
337549N1180436W003,295,315
337549N1180436W004,360,380
337554N1162164W001,500,1100
337563N1180839W001,65,85
337563N1180839W002,154,164
337563N1180839W003,210,230
337563N1180839W004,310,315
337564N1180702W001,155,175
337564N1180702W002,225,235
337564N1180702W003,265,275
337564N1180702W004,315,335
337572N1169289W001,360,920
337574N1169698W001,322,570
337578N1171898W001,290,560
337585N1164002W001,668,1202
337586N1169933W001,300,440
337586N1169933W001,620,660
337586N1169933W001,780,820
337591N1180435W001,74,84
337591N1180435W002,696,706
337591N1180435W003,1250,1260
337611N1172043W001,230,247
337634N1171815W001,230,249
337644N1169049W001,36,452
337646N1178432W001,123,133
337646N1178432W002,1426,1436
337646N1178432W003,667,677
337647N1169075W001,18,97
337649N1169067W001,50,393
337657N1169175W001,136,1000
337693N1161737W001,100,300
337700N1171812W001,230,249
337709N1171909W001,190,208
337730N1169400W001,124,1224
337733N1163308W001,500,600
337734N1171990W001,135,375
337742N1169245W001,270,290
337748N1169760W001,300,500
337761N1169518W001,500,1002
337775N1163545W001,341.11,361.44
337779N1179480W001,150,160
337779N1179480W002,2008,2018
337779N1179480W003,1070,1080
337817N1164312W001,267,268
337823N1182677W001,755,775
337823N1182677W002,120,140
337828N1172093W001,170,430
337875N1170158W001,200,310
337875N1171704W001,360,690
337910N1178268W001,827,838
337932N1163012W001,110,340
337945N1169420W001,254,518
337959N1180672W001,70,80
337959N1180672W002,1610,1620
337959N1180672W003,830,840
337963N1170066W001,126,311
337964N1169360W001,150,557
337965N1164578W001,344,392
337974N1170290W001,190,220
337974N1170290W001,250,380
337981N1171695W001,313,489
337995N1178787W001,160,170
337995N1178787W002,1390,1400
337995N1178787W003,770,780
338002N1171534W001,140,500
338005N1169456W001,170,212
338046N1169954W001,485,550
338046N1169954W001,901,964
338047N1178086W001,134,145
338047N1178086W002,325,335
338056N1169869W001,264,792
338060N1169666W001,300,442
338083N1170074W001,377,814
338088N1170003W001,156,402
338100N1170339W001,144,600
338101N1170341W001,400,780
338104N1181492W001,480,500
338104N1181492W002,220,240
338118N1170168W001,377,814
338130N1170341W001,322,526
338149N1172263W001,245,460
338159N1169853W001,100,451
338165N1163457W001,208,304
338167N1170299W001,275,316
338167N1170299W001,530,550
338178N1169852W001,260,500
338181N1170332W001,260,300
338181N1170332W001,380,560
338192N1164415W001,400,560
338195N1163903W001,479,518
338197N1170347W001,200,300
338197N1170347W001,380,480
338197N1170347W001,540,560
338199N1171433W001,148,917
338205N1180164W001,180,190
338205N1180164W002,2170,2180
338205N1180164W003,774,784
338219N1172264W001,290,665
338229N1179374W001,120,130
338229N1179374W002,1420,1430
338229N1179374W003,578,588
338239N1169921W001,200,296
338239N1169921W001,336,790
338240N1162287W001,382,520
338249N1170354W001,310,530
338259N1170318W001,400,720
338263N1170072W001,300,530
338284N1170104W001,200,600
338292N1171277W001,123,803
338302N1169893W001,370,780
338311N1170264W001,420,840
338312N1171351W001,367,887
338315N1171299W001,260,630
338327N1178668W001,150,170
338327N1178668W002,1370,1380
338327N1178668W003,510,530
338347N1171415W001,100,403
338355N1170257W001,380,800
338368N1171246W001,255,590
338371N1182411W001,740,760
338371N1182411W002,250,270
338383N1170601W001,200,552
338392N1172265W001,170,465
338405N1170041W001,45,205
338414N1171075W001,390,697
338420N1170305W001,352,702
338424N1170883W001,168,528
338437N1170850W001,113,473
338438N1170577W001,200,600
338445N1170084W001,440,900
338446N1170597W001,200,300
338446N1170597W001,340,808
338447N1164665W001,398,806
338451N1170788W001,300,643
338451N1171137W001,500,900
338454N1170196W001,440,840
338454N1170196W001,840,860
338458N1170603W001,280,497
338458N1170603W001,507,697
338464N1172319W001,250,790
338468N1170372W001,418,738
338472N1180587W001,1000,1020
338472N1180587W002,180,200
338488N1179110W001,134,144
338488N1179110W002,480,490
338498N1183497W001,500,540
338501N1182011W001,970,990
338501N1182011W002,160,180
338509N1178361W001,120,130
338509N1178361W002,210,220
338512N1170730W001,200,240
338512N1170730W001,320,520
338512N1170730W001,560,900
338515N1170875W001,370,600
338536N1170581W001,283,604
338552N1178566W001,1390,1400
338552N1178566W002,180,190
338552N1178566W003,330,340
338556N1180264W001,128,138
338556N1180264W002,2105,2115
338556N1180264W003,776,786
338562N1170673W001,404,704
338585N1170634W001,700,1187
338588N1170627W001,700,1187
338593N1172154W001,70,110
338607N1170886W001,700,1000
338615N1170375W001,460,950
338642N1178978W001,180,190
338642N1178978W002,529,539
338642N1178978W003,1419,1429
338649N1178024W001,91,107
338689N1177095W001,40,66
338691N1170839W001,140,160
338691N1170839W001,200,220
338691N1170839W001,260,280
338691N1170839W001,320,340
338691N1170839W001,380,400
338697N1170644W001,160,480
338704N1170650W001,350,720
338715N1177476W001,5,103
338715N1179765W001,410,510
338731N1172168W001,70,110
338762N1163082W001,371,511
338765N1182999W001,770,790
338765N1182999W002,235,255
338814N1170954W001,735,1035
338912N1179758W001,247,257
338942N1178371W001,117,137
338970N1179254W001,150,310
338982N1171940W001,240,340
338982N1171940W001,360,565
338982N1171940W001,575,595
338991N1172000W001,175,750
338995N1171958W001,175,450
339000N1163643W001,342,430
339024N1174697W001,66,111
339025N1171928W001,246,360
339025N1171928W001,380,725
339025N1171928W001,735,755
339031N1167470W001,330,508
339034N1167436W001,417,491
339064N1167649W001,373,383
339064N1167649W002,330,350
339064N1167649W003,240,260
339079N1171724W001,162,392
339083N1171698W001,270,470
339102N1164758W001,182,405
339102N1165284W001,360,410
339102N1165284W001,435,500
339102N1165284W001,520,650
339117N1183662W001,910,950
339117N1183662W002,240,260
339119N1180554W001,990,1010
339153N1174576W001,110,162
339172N1168442W001,460,680
339192N1171213W001,504,1080
339213N1181380W001,940,960
339213N1181380W002,250,270
339215N1168184W001,980,1000
339215N1168184W002,790,810
339215N1168184W003,640,660
339215N1168184W004,550,570
339220N1164430W001,177,207
339223N1166994W001,225,535
339234N1182566W001,885,905
339251N1174342W001,63,106
339253N1168513W001,1040,1060
339253N1168513W002,840,860
339253N1168513W003,660,680
339253N1168513W004,580,600
339265N1176217W001,60,100
339268N1179326W001,880,1210
339286N1169467W001,270,480
339303N1175950W001,75,85
339320N1165142W001,270,500
339320N1174420W001,50,87
339322N1167194W001,500,740
339324N1166887W001,320,600
339335N1169380W001,420,1152
339347N1172403W001,130,300
339347N1172408W001,130,300
339360N1180002W001,600,620
339360N1180002W002,200,220
339383N1168595W001,940,1000
339383N1168595W002,580,600
339390N1165135W001,220,300
339397N1169691W001,445,494
339397N1169691W001,534,592
339397N1169691W001,624,630
339397N1169691W001,644,657
339397N1169691W001,661,670
339397N1169691W001,690,782
339410N1173930W001,100,160
339456N1170469W001,80,100
339456N1170469W001,130,170
339456N1170469W001,320,350
339456N1170469W001,430,530
